repo,day,hour,commits
tensorflow/tensorflow,0,20,28
tensorflow/tensorflow,0,21,33
tensorflow/tensorflow,0,22,29
tensorflow/tensorflow,0,23,67
tensorflow/tensorflow,1,0,77
tensorflow/tensorflow,1,1,189
tensorflow/tensorflow,1,2,197
tensorflow/tensorflow,1,3,145
tensorflow/tensorflow,1,4,141
tensorflow/tensorflow,1,5,122
tensorflow/tensorflow,1,6,133
tensorflow/tensorflow,1,7,155
tensorflow/tensorflow,1,8,139
tensorflow/tensorflow,1,9,172
tensorflow/tensorflow,1,10,203
tensorflow/tensorflow,1,11,237
tensorflow/tensorflow,1,12,156
tensorflow/tensorflow,1,13,190
tensorflow/tensorflow,1,14,180
tensorflow/tensorflow,1,15,161
tensorflow/tensorflow,1,16,153
tensorflow/tensorflow,1,17,139
tensorflow/tensorflow,1,18,90
tensorflow/tensorflow,1,19,80
tensorflow/tensorflow,1,20,84
tensorflow/tensorflow,1,21,111
tensorflow/tensorflow,1,22,153
tensorflow/tensorflow,1,23,141
tensorflow/tensorflow,2,0,155
tensorflow/tensorflow,2,1,235
tensorflow/tensorflow,2,2,258
tensorflow/tensorflow,2,3,171
tensorflow/tensorflow,2,4,134
tensorflow/tensorflow,2,5,140
tensorflow/tensorflow,2,6,131
tensorflow/tensorflow,2,7,146
tensorflow/tensorflow,2,8,180
tensorflow/tensorflow,2,9,194
tensorflow/tensorflow,2,10,248
tensorflow/tensorflow,2,11,211
tensorflow/tensorflow,2,12,188
tensorflow/tensorflow,2,13,198
tensorflow/tensorflow,2,14,185
tensorflow/tensorflow,2,15,203
tensorflow/tensorflow,2,16,170
tensorflow/tensorflow,2,17,134
tensorflow/tensorflow,2,18,113
tensorflow/tensorflow,2,19,71
tensorflow/tensorflow,2,20,72
tensorflow/tensorflow,2,21,116
tensorflow/tensorflow,2,22,131
tensorflow/tensorflow,2,23,132
tensorflow/tensorflow,3,0,190
tensorflow/tensorflow,3,1,258
tensorflow/tensorflow,3,2,287
tensorflow/tensorflow,3,3,165
tensorflow/tensorflow,3,4,164
tensorflow/tensorflow,3,5,138
tensorflow/tensorflow,3,6,154
tensorflow/tensorflow,3,7,170
tensorflow/tensorflow,3,8,177
tensorflow/tensorflow,3,9,211
tensorflow/tensorflow,3,10,187
tensorflow/tensorflow,3,11,218
tensorflow/tensorflow,3,12,186
tensorflow/tensorflow,3,13,205
tensorflow/tensorflow,3,14,209
tensorflow/tensorflow,3,15,172
tensorflow/tensorflow,3,16,194
tensorflow/tensorflow,3,17,151
tensorflow/tensorflow,3,18,101
tensorflow/tensorflow,3,19,72
tensorflow/tensorflow,3,20,87
tensorflow/tensorflow,3,21,112
tensorflow/tensorflow,3,22,130
tensorflow/tensorflow,3,23,107
tensorflow/tensorflow,4,0,126
tensorflow/tensorflow,4,1,210
tensorflow/tensorflow,4,2,249
tensorflow/tensorflow,4,3,154
tensorflow/tensorflow,4,4,148
tensorflow/tensorflow,4,5,169
tensorflow/tensorflow,4,6,149
tensorflow/tensorflow,4,7,186
tensorflow/tensorflow,4,8,161
tensorflow/tensorflow,4,9,153
tensorflow/tensorflow,4,10,214
tensorflow/tensorflow,4,11,232
tensorflow/tensorflow,4,12,187
tensorflow/tensorflow,4,13,207
tensorflow/tensorflow,4,14,173
tensorflow/tensorflow,4,15,196
tensorflow/tensorflow,4,16,185
tensorflow/tensorflow,4,17,148
tensorflow/tensorflow,4,18,108
tensorflow/tensorflow,4,19,82
tensorflow/tensorflow,4,20,92
tensorflow/tensorflow,4,21,104
tensorflow/tensorflow,4,22,128
tensorflow/tensorflow,4,23,138
tensorflow/tensorflow,5,0,118
tensorflow/tensorflow,5,1,199
tensorflow/tensorflow,5,2,205
tensorflow/tensorflow,5,3,119
tensorflow/tensorflow,5,4,112
tensorflow/tensorflow,5,5,125
tensorflow/tensorflow,5,6,98
tensorflow/tensorflow,5,7,115
tensorflow/tensorflow,5,8,149
tensorflow/tensorflow,5,9,161
tensorflow/tensorflow,5,10,209
tensorflow/tensorflow,5,11,229
tensorflow/tensorflow,5,12,181
tensorflow/tensorflow,5,13,184
tensorflow/tensorflow,5,14,173
tensorflow/tensorflow,5,15,193
tensorflow/tensorflow,5,16,151
tensorflow/tensorflow,5,17,114
tensorflow/tensorflow,5,18,93
tensorflow/tensorflow,5,19,52
tensorflow/tensorflow,5,20,60
tensorflow/tensorflow,5,21,66
tensorflow/tensorflow,5,22,87
tensorflow/tensorflow,5,23,77
tensorflow/tensorflow,6,0,50
tensorflow/tensorflow,6,1,91
tensorflow/tensorflow,6,2,114
tensorflow/tensorflow,6,3,50
tensorflow/tensorflow,6,4,22
tensorflow/tensorflow,6,5,19
tensorflow/tensorflow,6,6,13
tensorflow/tensorflow,6,7,15
tensorflow/tensorflow,6,8,28
tensorflow/tensorflow,6,9,19
tensorflow/tensorflow,6,10,21
tensorflow/tensorflow,6,11,31
tensorflow/tensorflow,6,12,28
tensorflow/tensorflow,6,13,49
tensorflow/tensorflow,6,14,15
tensorflow/tensorflow,6,15,25
tensorflow/tensorflow,6,16,10
tensorflow/tensorflow,6,17,9
tensorflow/tensorflow,6,18,13
tensorflow/tensorflow,6,19,15
tensorflow/tensorflow,6,20,16
tensorflow/tensorflow,6,21,17
tensorflow/tensorflow,6,22,23
tensorflow/tensorflow,6,23,11
rust-lang/rust,0,0,87
rust-lang/rust,0,1,61
rust-lang/rust,0,2,42
rust-lang/rust,0,3,23
rust-lang/rust,0,4,41
rust-lang/rust,0,5,26
rust-lang/rust,0,6,12
rust-lang/rust,0,7,28
rust-lang/rust,0,8,49
rust-lang/rust,0,9,55
rust-lang/rust,0,10,92
rust-lang/rust,0,11,108
rust-lang/rust,0,12,121
rust-lang/rust,0,13,143
rust-lang/rust,0,14,146
rust-lang/rust,0,15,151
rust-lang/rust,0,16,139
rust-lang/rust,0,17,111
rust-lang/rust,0,18,118
rust-lang/rust,0,19,106
rust-lang/rust,0,20,125
rust-lang/rust,0,21,125
rust-lang/rust,0,22,140
rust-lang/rust,0,23,97
rust-lang/rust,1,0,78
rust-lang/rust,1,1,64
rust-lang/rust,1,2,43
rust-lang/rust,1,3,23
rust-lang/rust,1,4,83
rust-lang/rust,1,5,36
rust-lang/rust,1,6,33
rust-lang/rust,1,7,39
rust-lang/rust,1,8,101
rust-lang/rust,1,9,121
rust-lang/rust,1,10,156
rust-lang/rust,1,11,150
rust-lang/rust,1,12,146
rust-lang/rust,1,13,162
rust-lang/rust,1,14,193
rust-lang/rust,1,15,241
rust-lang/rust,1,16,228
rust-lang/rust,1,17,216
rust-lang/rust,1,18,197
rust-lang/rust,1,19,151
rust-lang/rust,1,20,149
rust-lang/rust,1,21,151
rust-lang/rust,1,22,141
rust-lang/rust,1,23,108
rust-lang/rust,2,0,126
rust-lang/rust,2,1,62
rust-lang/rust,2,2,44
rust-lang/rust,2,3,36
rust-lang/rust,2,4,32
rust-lang/rust,2,5,27
rust-lang/rust,2,6,34
rust-lang/rust,2,7,42
rust-lang/rust,2,8,110
rust-lang/rust,2,9,141
rust-lang/rust,2,10,183
rust-lang/rust,2,11,207
rust-lang/rust,2,12,167
rust-lang/rust,2,13,180
rust-lang/rust,2,14,181
rust-lang/rust,2,15,220
rust-lang/rust,2,16,192
rust-lang/rust,2,17,235
rust-lang/rust,2,18,193
rust-lang/rust,2,19,133
rust-lang/rust,2,20,169
rust-lang/rust,2,21,142
rust-lang/rust,2,22,156
rust-lang/rust,2,23,133
rust-lang/rust,3,0,94
rust-lang/rust,3,1,85
rust-lang/rust,3,2,47
rust-lang/rust,3,3,36
rust-lang/rust,3,4,49
rust-lang/rust,3,5,34
rust-lang/rust,3,6,29
rust-lang/rust,3,7,58
rust-lang/rust,3,8,88
rust-lang/rust,3,9,143
rust-lang/rust,3,10,146
rust-lang/rust,3,11,174
rust-lang/rust,3,12,166
rust-lang/rust,3,13,210
rust-lang/rust,3,14,228
rust-lang/rust,3,15,219
rust-lang/rust,3,16,223
rust-lang/rust,3,17,218
rust-lang/rust,3,18,141
rust-lang/rust,3,19,135
rust-lang/rust,3,20,166
rust-lang/rust,3,21,154
rust-lang/rust,3,22,146
rust-lang/rust,3,23,131
rust-lang/rust,4,0,86
rust-lang/rust,4,1,63
rust-lang/rust,4,2,57
rust-lang/rust,4,3,28
rust-lang/rust,4,4,60
rust-lang/rust,4,5,26
rust-lang/rust,4,6,28
rust-lang/rust,4,7,44
rust-lang/rust,4,8,87
rust-lang/rust,4,9,143
rust-lang/rust,4,10,175
rust-lang/rust,4,11,184
rust-lang/rust,4,12,160
rust-lang/rust,4,13,186
rust-lang/rust,4,14,215
rust-lang/rust,4,15,207
rust-lang/rust,4,16,200
rust-lang/rust,4,17,188
rust-lang/rust,4,18,181
rust-lang/rust,4,19,186
rust-lang/rust,4,20,146
rust-lang/rust,4,21,124
rust-lang/rust,4,22,159
rust-lang/rust,4,23,157
rust-lang/rust,5,0,107
rust-lang/rust,5,1,86
rust-lang/rust,5,2,43
rust-lang/rust,5,3,29
rust-lang/rust,5,4,42
rust-lang/rust,5,5,37
rust-lang/rust,5,6,24
rust-lang/rust,5,7,45
rust-lang/rust,5,8,78
rust-lang/rust,5,9,154
rust-lang/rust,5,10,200
rust-lang/rust,5,11,184
rust-lang/rust,5,12,179
rust-lang/rust,5,13,195
rust-lang/rust,5,14,224
rust-lang/rust,5,15,255
rust-lang/rust,5,16,220
rust-lang/rust,5,17,204
rust-lang/rust,5,18,153
rust-lang/rust,5,19,122
rust-lang/rust,5,20,168
rust-lang/rust,5,21,147
rust-lang/rust,5,22,148
rust-lang/rust,5,23,116
rust-lang/rust,6,0,89
rust-lang/rust,6,1,60
rust-lang/rust,6,2,48
rust-lang/rust,6,3,28
rust-lang/rust,6,4,39
rust-lang/rust,6,5,31
rust-lang/rust,6,6,27
rust-lang/rust,6,7,34
rust-lang/rust,6,8,40
rust-lang/rust,6,9,65
rust-lang/rust,6,10,123
rust-lang/rust,6,11,145
rust-lang/rust,6,12,166
rust-lang/rust,6,13,157
rust-lang/rust,6,14,142
rust-lang/rust,6,15,144
rust-lang/rust,6,16,124
rust-lang/rust,6,17,166
rust-lang/rust,6,18,125
rust-lang/rust,6,19,113
rust-lang/rust,6,20,89
rust-lang/rust,6,21,112
rust-lang/rust,6,22,142
rust-lang/rust,6,23,120
golang/go,0,0,38
golang/go,0,1,18
golang/go,0,2,37
golang/go,0,3,17
golang/go,0,4,11
golang/go,0,5,14
golang/go,0,6,12
golang/go,0,7,12
golang/go,0,8,26
golang/go,0,9,30
golang/go,0,10,44
golang/go,0,11,63
golang/go,0,12,64
golang/go,0,13,57
golang/go,0,14,78
golang/go,0,15,74
golang/go,0,16,48
golang/go,0,17,63
golang/go,0,18,60
golang/go,0,19,46
golang/go,0,20,62
golang/go,0,21,74
golang/go,0,22,51
golang/go,0,23,54
golang/go,1,0,32
golang/go,1,1,27
golang/go,1,2,25
golang/go,1,3,16
golang/go,1,4,19
golang/go,1,5,24
golang/go,1,6,17
golang/go,1,7,21
golang/go,1,8,48
golang/go,1,9,117
golang/go,1,10,194
golang/go,1,11,227
golang/go,1,12,235
golang/go,1,13,279
golang/go,1,14,276
golang/go,1,15,336
golang/go,1,16,301
golang/go,1,17,306
golang/go,1,18,163
golang/go,1,19,120
golang/go,1,20,112
golang/go,1,21,103
golang/go,1,22,118
golang/go,1,23,83
golang/go,2,0,63
golang/go,2,1,54
golang/go,2,2,36
golang/go,2,3,39
golang/go,2,4,28
golang/go,2,5,23
golang/go,2,6,23
golang/go,2,7,40
golang/go,2,8,86
golang/go,2,9,180
golang/go,2,10,280
golang/go,2,11,239
golang/go,2,12,259
golang/go,2,13,278
golang/go,2,14,299
golang/go,2,15,333
golang/go,2,16,319
golang/go,2,17,303
golang/go,2,18,180
golang/go,2,19,148
golang/go,2,20,136
golang/go,2,21,138
golang/go,2,22,125
golang/go,2,23,112
golang/go,3,0,79
golang/go,3,1,69
golang/go,3,2,50
golang/go,3,3,27
golang/go,3,4,25
golang/go,3,5,18
golang/go,3,6,22
golang/go,3,7,31
golang/go,3,8,72
golang/go,3,9,208
golang/go,3,10,246
golang/go,3,11,338
golang/go,3,12,290
golang/go,3,13,299
golang/go,3,14,357
golang/go,3,15,346
golang/go,3,16,335
golang/go,3,17,339
golang/go,3,18,181
golang/go,3,19,143
golang/go,3,20,147
golang/go,3,21,153
golang/go,3,22,148
golang/go,3,23,101
golang/go,4,0,62
golang/go,4,1,52
golang/go,4,2,43
golang/go,4,3,28
golang/go,4,4,19
golang/go,4,5,23
golang/go,4,6,25
golang/go,4,7,42
golang/go,4,8,73
golang/go,4,9,167
golang/go,4,10,248
golang/go,4,11,302
golang/go,4,12,246
golang/go,4,13,265
golang/go,4,14,298
golang/go,4,15,318
golang/go,4,16,335
golang/go,4,17,272
golang/go,4,18,173
golang/go,4,19,134
golang/go,4,20,157
golang/go,4,21,152
golang/go,4,22,114
golang/go,4,23,96
golang/go,5,0,67
golang/go,5,1,53
golang/go,5,2,27
golang/go,5,3,29
golang/go,5,4,17
golang/go,5,5,16
golang/go,5,6,26
golang/go,5,7,34
golang/go,5,8,65
golang/go,5,9,157
golang/go,5,10,235
golang/go,5,11,233
golang/go,5,12,215
golang/go,5,13,260
golang/go,5,14,296
golang/go,5,15,274
golang/go,5,16,286
golang/go,5,17,243
golang/go,5,18,154
golang/go,5,19,143
golang/go,5,20,119
golang/go,5,21,88
golang/go,5,22,88
golang/go,5,23,93
golang/go,6,0,71
golang/go,6,1,44
golang/go,6,2,39
golang/go,6,3,30
golang/go,6,4,28
golang/go,6,5,17
golang/go,6,6,13
golang/go,6,7,26
golang/go,6,8,30
golang/go,6,9,38
golang/go,6,10,53
golang/go,6,11,64
golang/go,6,12,53
golang/go,6,13,48
golang/go,6,14,74
golang/go,6,15,61
golang/go,6,16,86
golang/go,6,17,70
golang/go,6,18,66
golang/go,6,19,58
golang/go,6,20,42
golang/go,6,21,41
golang/go,6,22,42
golang/go,6,23,47
kubernetes/kubernetes,0,0,36
kubernetes/kubernetes,0,1,14
kubernetes/kubernetes,0,2,10
kubernetes/kubernetes,0,3,8
kubernetes/kubernetes,0,4,14
kubernetes/kubernetes,0,5,6
kubernetes/kubernetes,0,6,8
kubernetes/kubernetes,0,7,18
kubernetes/kubernetes,0,8,11
kubernetes/kubernetes,0,9,40
kubernetes/kubernetes,0,10,48
kubernetes/kubernetes,0,11,79
kubernetes/kubernetes,0,12,53
kubernetes/kubernetes,0,13,57
kubernetes/kubernetes,0,14,59
kubernetes/kubernetes,0,15,89
kubernetes/kubernetes,0,16,68
kubernetes/kubernetes,0,17,74
kubernetes/kubernetes,0,18,58
kubernetes/kubernetes,0,19,55
kubernetes/kubernetes,0,20,61
kubernetes/kubernetes,0,21,48
kubernetes/kubernetes,0,22,61
kubernetes/kubernetes,0,23,58
kubernetes/kubernetes,1,0,26
kubernetes/kubernetes,1,1,10
kubernetes/kubernetes,1,2,5
kubernetes/kubernetes,1,3,2
kubernetes/kubernetes,1,4,4
kubernetes/kubernetes,1,5,12
kubernetes/kubernetes,1,6,11
kubernetes/kubernetes,1,7,30
kubernetes/kubernetes,1,8,89
kubernetes/kubernetes,1,9,185
kubernetes/kubernetes,1,10,230
kubernetes/kubernetes,1,11,263
kubernetes/kubernetes,1,12,219
kubernetes/kubernetes,1,13,240
kubernetes/kubernetes,1,14,259
kubernetes/kubernetes,1,15,242
kubernetes/kubernetes,1,16,300
kubernetes/kubernetes,1,17,255
kubernetes/kubernetes,1,18,183
kubernetes/kubernetes,1,19,145
kubernetes/kubernetes,1,20,144
kubernetes/kubernetes,1,21,147
kubernetes/kubernetes,1,22,119
kubernetes/kubernetes,1,23,92
kubernetes/kubernetes,2,0,58
kubernetes/kubernetes,2,1,39
kubernetes/kubernetes,2,2,17
kubernetes/kubernetes,2,3,23
kubernetes/kubernetes,2,4,15
kubernetes/kubernetes,2,5,15
kubernetes/kubernetes,2,6,21
kubernetes/kubernetes,2,7,45
kubernetes/kubernetes,2,8,94
kubernetes/kubernetes,2,9,194
kubernetes/kubernetes,2,10,267
kubernetes/kubernetes,2,11,333
kubernetes/kubernetes,2,12,200
kubernetes/kubernetes,2,13,265
kubernetes/kubernetes,2,14,314
kubernetes/kubernetes,2,15,310
kubernetes/kubernetes,2,16,312
kubernetes/kubernetes,2,17,273
kubernetes/kubernetes,2,18,195
kubernetes/kubernetes,2,19,156
kubernetes/kubernetes,2,20,205
kubernetes/kubernetes,2,21,159
kubernetes/kubernetes,2,22,176
kubernetes/kubernetes,2,23,132
kubernetes/kubernetes,3,0,82
kubernetes/kubernetes,3,1,62
kubernetes/kubernetes,3,2,33
kubernetes/kubernetes,3,3,25
kubernetes/kubernetes,3,4,11
kubernetes/kubernetes,3,5,14
kubernetes/kubernetes,3,6,27
kubernetes/kubernetes,3,7,45
kubernetes/kubernetes,3,8,101
kubernetes/kubernetes,3,9,204
kubernetes/kubernetes,3,10,295
kubernetes/kubernetes,3,11,293
kubernetes/kubernetes,3,12,265
kubernetes/kubernetes,3,13,286
kubernetes/kubernetes,3,14,307
kubernetes/kubernetes,3,15,341
kubernetes/kubernetes,3,16,314
kubernetes/kubernetes,3,17,267
kubernetes/kubernetes,3,18,203
kubernetes/kubernetes,3,19,163
kubernetes/kubernetes,3,20,139
kubernetes/kubernetes,3,21,209
kubernetes/kubernetes,3,22,150
kubernetes/kubernetes,3,23,127
kubernetes/kubernetes,4,0,102
kubernetes/kubernetes,4,1,51
kubernetes/kubernetes,4,2,15
kubernetes/kubernetes,4,3,25
kubernetes/kubernetes,4,4,13
kubernetes/kubernetes,4,5,26
kubernetes/kubernetes,4,6,33
kubernetes/kubernetes,4,7,50
kubernetes/kubernetes,4,8,93
kubernetes/kubernetes,4,9,215
kubernetes/kubernetes,4,10,262
kubernetes/kubernetes,4,11,328
kubernetes/kubernetes,4,12,221
kubernetes/kubernetes,4,13,253
kubernetes/kubernetes,4,14,310
kubernetes/kubernetes,4,15,286
kubernetes/kubernetes,4,16,267
kubernetes/kubernetes,4,17,251
kubernetes/kubernetes,4,18,181
kubernetes/kubernetes,4,19,145
kubernetes/kubernetes,4,20,165
kubernetes/kubernetes,4,21,161
kubernetes/kubernetes,4,22,133
kubernetes/kubernetes,4,23,116
kubernetes/kubernetes,5,0,77
kubernetes/kubernetes,5,1,38
kubernetes/kubernetes,5,2,26
kubernetes/kubernetes,5,3,14
kubernetes/kubernetes,5,4,19
kubernetes/kubernetes,5,5,15
kubernetes/kubernetes,5,6,22
kubernetes/kubernetes,5,7,47
kubernetes/kubernetes,5,8,100
kubernetes/kubernetes,5,9,177
kubernetes/kubernetes,5,10,259
kubernetes/kubernetes,5,11,266
kubernetes/kubernetes,5,12,210
kubernetes/kubernetes,5,13,254
kubernetes/kubernetes,5,14,291
kubernetes/kubernetes,5,15,246
kubernetes/kubernetes,5,16,254
kubernetes/kubernetes,5,17,221
kubernetes/kubernetes,5,18,140
kubernetes/kubernetes,5,19,124
kubernetes/kubernetes,5,20,103
kubernetes/kubernetes,5,21,85
kubernetes/kubernetes,5,22,76
kubernetes/kubernetes,5,23,84
kubernetes/kubernetes,6,0,63
kubernetes/kubernetes,6,1,27
kubernetes/kubernetes,6,2,9
kubernetes/kubernetes,6,3,13
kubernetes/kubernetes,6,4,17
kubernetes/kubernetes,6,5,10
kubernetes/kubernetes,6,6,11
kubernetes/kubernetes,6,7,16
kubernetes/kubernetes,6,8,31
kubernetes/kubernetes,6,9,53
kubernetes/kubernetes,6,10,87
kubernetes/kubernetes,6,11,80
kubernetes/kubernetes,6,12,57
kubernetes/kubernetes,6,13,61
kubernetes/kubernetes,6,14,64
kubernetes/kubernetes,6,15,57
kubernetes/kubernetes,6,16,58
kubernetes/kubernetes,6,17,76
kubernetes/kubernetes,6,18,63
kubernetes/kubernetes,6,19,49
kubernetes/kubernetes,6,20,49
kubernetes/kubernetes,6,21,62
kubernetes/kubernetes,6,22,65
kubernetes/kubernetes,6,23,46
